Day,Month,Year,soil_moisture,Probe
1,1,2013,25.32,12699
1,1,2014,51.96979167,12699
1,2,2014,70.62631944,12699
1,3,2014,66.50847222,12699
1,4,2013,33.47333333,12699
1,4,2014,66.16506944,12699
1,5,2013,58.71305556,12699
1,5,2014,58.43083333,12699
1,6,2013,55.54,12699
1,7,2013,53.9327,12699
1,8,2013,52.64965278,12699
1,9,2013,52.08881944,12699
1,10,2013,27.85736111,12699
1,11,2012,25.32319444,12699
1,11,2013,27.63715278,12699
1,12,2012,25.3008,12699
2,1,2014,51.98319444,12699
2,2,2014,69.2425,12699
2,3,2014,66.45180556,12699
2,4,2013,33.27409722,12699
2,4,2014,65.51993056,12699
2,5,2013,58.60854167,12699
2,5,2014,58.33527778,12699
2,6,2013,55.43076389,12699
2,7,2013,53.87229167,12699
2,8,2013,52.62118056,12699
2,9,2013,52.060625,12699
2,10,2013,27.83361111,12699
2,11,2012,25.31493056,12699
2,11,2013,27.63236111,12699
2,12,2012,25.30180556,12699
3,1,2014,52.01409722,12699
3,2,2014,71.41673611,12699
3,3,2014,68.36402778,12699
3,4,2013,33.03729167,12699
3,4,2014,64.84805556,12699
3,5,2013,58.50465278,12699
3,5,2014,58.22493056,12699
3,6,2013,55.33868056,12699
3,7,2013,53.81041667,12699
3,8,2013,52.58819444,12699
3,9,2013,52.04013889,12699
3,10,2013,27.81722222,12699
3,11,2012,25.31236111,12699
3,11,2013,27.63493056,12699
3,12,2012,25.30194444,12699
4,1,2014,52.01069444,12699
4,2,2014,70.79638889,12699
4,3,2014,70.2325,12699
4,4,2013,34.34611111,12699
4,4,2014,64.669375,12699
4,5,2013,58.36076389,12699
4,5,2014,58.12305556,12699
4,6,2013,55.26326389,12699
4,7,2013,53.79152778,12699
4,8,2013,52.57958333,12699
4,9,2013,52.03034722,12699
4,10,2013,27.80645833,12699
4,11,2012,25.31805556,12699
4,11,2013,27.62784722,12699
4,12,2012,25.29263889,12699
5,1,2014,52.02604167,12699
5,2,2014,70.19486111,12699
5,3,2014,70.56583333,12699
5,4,2013,34.2275,12699
5,4,2014,64.66930556,12699
5,5,2013,58.26868056,12699
5,5,2014,58.02319444,12699
5,6,2013,55.19736111,12699
5,7,2013,53.77756944,12699
5,8,2013,52.55479167,12699
5,9,2013,52.01534722,12699
5,10,2013,27.80284722,12699
5,11,2012,25.32854167,12699
5,11,2013,27.61430556,12699
5,12,2012,25.29048611,12699
6,1,2014,56.73555556,12699
6,2,2014,69.60930556,12699
6,3,2014,72.32243056,12699
6,4,2013,33.78298611,12699
6,4,2014,64.24048611,12699
6,5,2013,58.13625,12699
6,5,2014,58.06173611,12699
6,6,2013,55.20375,12699
6,7,2013,53.72965278,12699
6,8,2013,52.52576389,12699
6,9,2013,51.981875,12699
6,10,2013,27.80006944,12699
6,11,2012,25.34506944,12699
6,11,2013,27.60430556,12699
6,12,2012,25.27659722,12699
7,1,2014,63.67173611,12699
7,2,2014,69.57166667,12699
7,3,2014,71.26340278,12699
7,4,2013,33.4425,12699
7,4,2014,63.76493056,12699
7,5,2013,58.04236111,12699
