Day,Month,Year,mu_20916
1,1,2013,41.96465277777777
1,1,2014,77.77715277777777
1,2,2013,28.924861111111113
1,2,2014,84.6863888888889
1,3,2013,44.004609375
1,4,2013,43.927013888888894
1,5,2013,68.90824971655329
1,6,2013,76.47687499999999
1,7,2013,74.92208333333333
1,8,2013,73.61888888888888
1,9,2013,41.515833333333326
1,10,2012,40.95298611111111
1,10,2013,72.43965277777778
1,11,2012,41.283541666666665
1,11,2013,73.07023076259489
1,12,2012,41.64694444444444
1,12,2013,66.42166666666667
2,1,2013,41.960833333333326
2,1,2014,77.73895833333333
2,2,2013,28.994305555555556
2,2,2014,83.91722222222222
2,3,2013,43.8864880952381
2,4,2013,43.92097222222222
2,5,2013,68.88770833333334
2,6,2013,76.41715277777777
2,7,2013,74.85652777777779
2,8,2013,73.59034722222222
2,9,2013,41.50555555555556
2,10,2012,40.99229166666666
2,10,2013,72.41870952168746
2,11,2012,41.29055555555556
2,11,2013,73.57074027035056
2,12,2012,41.658541666666665
2,12,2013,66.43833333333333
3,1,2013,41.981944444444444
3,1,2014,77.66152777777779
3,2,2013,29.05145833333333
3,2,2014,84.579375
3,3,2013,29.69611111111111
3,4,2013,43.898125
3,5,2013,77.37252182539682
3,6,2013,76.34875
3,7,2013,74.77854166666665
3,8,2013,73.54534722222222
3,9,2013,41.51541666666667
3,10,2012,41.025555555555556
3,10,2013,72.30430857487923
3,11,2012,41.302569444444444
3,11,2013,74.57241666666665
3,12,2012,41.669374999999995
3,12,2013,77.50326388888888
4,1,2013,41.97694444444444
4,1,2014,81.67680555555555
4,2,2013,29.098263888888887
4,2,2014,84.27965277777778
4,3,2013,29.698055555555555
4,4,2013,43.87152777777778
4,5,2013,77.38118055555555
4,6,2013,76.29777777777777
4,7,2013,74.74555555555555
4,8,2013,73.54368055555555
4,9,2013,41.49083333333333
4,10,2012,41.059305555555554
4,10,2013,72.29749999999999
4,11,2012,41.31854166666666
4,11,2013,74.19486009754777
4,12,2012,41.66256944444444
4,12,2013,78.47878472222223
5,1,2013,41.95958333333333
5,1,2014,88.24729166666665
5,2,2013,29.132222222222225
5,2,2014,83.79298611111109
5,3,2013,29.70347222222222
5,4,2013,43.88590277777777
5,5,2013,77.38305555555554
5,6,2013,76.29076388888889
5,7,2013,74.71215277777777
5,8,2013,73.5225
5,9,2013,41.48763888888889
5,10,2012,41.09041666666667
5,10,2013,72.32520833333334
5,11,2012,41.33166666666666
5,11,2013,72.3877420983013
5,12,2012,41.66972222222222
5,12,2013,79.36333333333334
6,1,2013,41.97034722222222
6,1,2014,85.72895833333332
6,2,2013,29.187569444444442
6,2,2014,83.66999999999999
6,3,2013,29.703055555555554
6,4,2013,43.87611111111111
6,5,2013,77.32666666666665
6,6,2013,76.2673611111111
6,7,2013,74.64631944444444
6,8,2013,73.46902777777777
6,9,2013,41.49388888888889
6,10,2012,41.12840277777778
6,10,2013,72.38333333333333
6,11,2012,41.34111111111111
6,11,2013,72.81750267094016
6,12,2012,41.66534722222222
6,12,2013,79.36333333333334
7,1,2013,41.96895833333333
7,1,2014,84.52618055555556
7,2,2013,29.235902777777774
7,2,2014,85.21576388888889
7,3,2013,29.69972222222222
7,4,2013,43.856249999999996
7,5,2013,77.2879861111111
7,6,2013,76.19416666666666
7,7,2013,74.60180555555554
7,8,2013,73.44312500000001
7,9,2013,41.4675
7,10,2012,41.16374999999999
7,10,2013,72.17743055555555
7,11,2012,41.350624999999994
7,11,2013,71.89118714424724
7,12,2012,41.67993055555556
8,1,2013,41.959999999999994
8,1,2014,82.49558333333333
8,2,2013,29.27027777777778
8,2,2014,85.35576388888889
8,3,2013,29.700555555555553
8,4,2013,43.83805555555555
8,5,2013,77.23208333333332
8,6,2013,76.1398611111111
8,7,2013,74.58631944444444
8,8,2013,73.44652777777776
8,9,2013,41.44784722222222
8,10,2012,41.18923611111111
8,10,2013,72.04368055555554
8,11,2012,41.358402777777776
8,11,2013,73.43042299367298
8,12,2012,41.68388888888889
8,12,2013,80.1893050065876
9,1,2013,41.97277777777778
9,2,2013,29.30347222222222
9,2,2014,84.80833333333334
9,3,2013,29.69638888888889
9,4,2013,43.82659722222222
9,5,2013,77.18861111111111
9,6,2013,76.08645833333333
9,7,2013,74.565
9,8,2013,73.45465277777777
9,9,2013,41.44798611111111
9,10,2012,41.222430555555555
9,10,2013,72.08
9,11,2012,41.37333333333333
9,11,2013,72.43978510921912
9,12,2012,41.69020833333333
9,12,2013,55.60999999999999
10,1,2013,41.98569444444445
10,1,2014,80.20924242424242
10,2,2013,29.334166666666665
10,2,2014,84.26909722222223
10,3,2013,29.703125
10,4,2013,43.820144927536234
10,5,2013,77.17659722222223
10,6,2013,76.02041666666668
10,7,2013,74.53694444444444
10,8,2013,73.38055555555556
10,9,2013,41.433611111111105
10,10,2012,41.24979166666667
10,10,2013,72.16187801932367
10,11,2012,41.38159722222222
10,11,2013,73.00595608256478
10,12,2012,41.70159722222222
10,12,2013,40.04666666666666
11,1,2013,41.98895833333333
11,1,2014,79.81284722222222
11,2,2013,29.37041666666667
11,2,2014,84.05784722222222
11,3,2013,29.718125
11,4,2013,43.80215277777777
11,5,2013,77.20666666666666
11,6,2013,75.98118055555557
11,7,2013,74.48243055555555
11,8,2013,73.36104166666667
11,9,2013,41.43402777777777
11,10,2012,41.25958333333333
11,10,2013,72.1661111111111
11,11,2012,41.37243055555555
11,11,2013,72.00221467391304
11,12,2012,41.71416666666667
11,12,2013,79.06705815018316
12,1,2013,42.00423611111111
12,1,2014,79.69493055555556
12,2,2013,29.400069444444444
12,2,2014,83.95583333333333
12,3,2013,29.732569444444444
12,4,2013,43.80173611111111
12,5,2013,77.20875000000001
12,6,2013,75.8865972222222
12,7,2013,74.4267361111111
12,8,2013,73.36118055555555
12,9,2012,40.25205128205128
12,9,2013,41.41416666666666
12,10,2012,41.271249999999995
12,10,2013,72.3546286231884
12,11,2012,41.37993055555555
12,11,2013,71.88030379596884
12,12,2012,41.711527777777775
12,12,2013,79.32212121212122
13,1,2013,42.00812499999999
13,1,2014,79.79222222222222
13,2,2013,29.43111111111111
13,3,2013,29.730486111111112
13,4,2013,43.793680555555554
13,5,2013,77.18569444444445
13,6,2013,75.84395833333332
13,7,2013,74.35583724569639
13,8,2013,73.3320138888889
13,9,2012,40.28666666666666
13,9,2013,41.43888888888888
13,10,2012,41.274027777777775
13,10,2013,72.0192361111111
13,11,2012,41.38840277777778
13,11,2013,71.91239898205659
13,12,2012,41.71930555555555
13,12,2013,79.38
14,1,2013,42.00534722222222
14,1,2014,79.9361111111111
14,2,2013,29.46236111111111
14,3,2013,43.96301136363636
14,4,2013,43.79354166666667
14,5,2013,77.13256944444444
14,6,2013,75.80414302600474
14,7,2013,74.32374999999999
14,8,2013,73.30340277777778
14,9,2012,40.322916666666664
14,9,2013,41.437638888888884
14,10,2012,41.27694444444444
14,10,2013,71.84875
14,11,2012,41.398888888888884
14,11,2013,72.53937591494656
14,12,2012,41.71319444444444
14,12,2013,78.94304073342116
15,1,2013,45.492777777777775
15,1,2014,80.018125
15,2,2013,29.489513888888887
15,3,2013,43.950763888888886
15,4,2013,43.78451388888889
15,5,2013,77.10486111111112
15,6,2013,75.72979166666666
15,7,2013,74.30201388888888
15,8,2013,73.28805555555556
15,9,2012,40.36541666666666
15,9,2013,41.43930555555556
15,10,2012,41.27444444444444
15,10,2013,71.92854166666666
15,11,2012,41.41354166666666
15,11,2013,72.78628818283167
15,12,2012,41.70854166666666
15,12,2013,78.91166666666666
16,1,2013,45.557430555555555
16,1,2014,80.095625
16,2,2013,29.509166666666665
16,3,2013,43.94
16,4,2013,43.776111111111106
16,5,2013,77.08590277777776
16,6,2013,75.67993055555554
16,7,2013,74.224375
16,8,2013,73.24881944444444
16,9,2012,40.395069444444445
16,9,2013,41.44201388888889
16,10,2012,41.27506944444444
16,10,2013,72.40936114796796
16,11,2012,41.44125
16,11,2013,71.8078336352657
16,12,2012,41.716874999999995
17,1,2013,44.74861111111111
17,1,2014,80.08583333333333
17,2,2013,29.536458333333332
17,3,2013,43.93930555555555
17,4,2013,43.77374999999999
17,5,2013,77.07642730496454
17,6,2013,75.62479166666665
17,7,2013,74.18312499999999
17,8,2013,73.2188888888889
17,9,2012,40.417291666666664
17,9,2013,41.39756944444444
17,10,2012,41.264652777777776
17,10,2013,72.15317158385092
17,11,2012,41.462291666666665
17,11,2013,72.62635793447814
17,12,2012,41.72013888888888
18,1,2013,44.39604166666667
18,1,2014,80.00152777777777
18,2,2013,29.562013888888888
18,3,2013,43.93680555555555
18,4,2013,43.77208333333333
18,5,2013,77.05569444444444
18,6,2013,75.59418093607306
18,7,2013,74.20041666666667
18,8,2013,73.20777777777778
18,9,2012,40.44034722222222
18,9,2013,41.39916666666666
18,10,2012,41.288124999999994
18,10,2013,71.92708333333333
18,11,2012,41.47805555555556
18,11,2013,77.21710648148148
18,12,2012,41.74249999999999
19,1,2013,29.509722222222223
19,1,2014,79.89756944444444
19,2,2013,29.580972222222222
19,3,2013,43.95631944444444
19,4,2013,43.76798611111111
19,5,2013,76.99715277777776
19,6,2013,75.50159722222222
19,7,2013,74.17027174715699
19,8,2013,73.21069444444443
19,9,2012,40.468958333333326
19,9,2013,41.40416666666667
19,10,2012,41.291597222222215
19,10,2013,72.52782638888888
19,11,2012,41.51555555555555
19,11,2013,73.61247545329067
19,12,2012,41.769305555555555
20,1,2013,28.106388888888887
20,1,2014,79.84895833333333
20,2,2013,29.591805555555556
20,3,2013,43.94763888888889
20,4,2013,43.748888888888885
20,5,2013,76.93916666666667
20,6,2013,75.45230200945625
20,7,2013,74.10715277777777
20,8,2013,73.15125
20,9,2012,40.49833333333333
20,9,2013,41.39805555555555
20,10,2012,41.29125
20,10,2013,72.69245436507937
20,11,2012,41.54013888888889
20,11,2013,71.40529536089798
20,12,2012,41.78444444444444
21,1,2013,27.97006944444444
21,1,2014,79.75493055555555
21,2,2013,29.600833333333334
21,3,2013,43.96124999999999
21,4,2013,43.75520833333333
21,5,2013,76.88131944444444
21,6,2013,75.41499999999999
21,7,2013,74.11458333333333
21,8,2013,73.11631944444444
21,9,2012,40.54569444444444
21,9,2013,41.36020833333333
21,10,2012,41.30548611111111
21,10,2013,72.21350657605805
21,11,2012,41.564027777777774
21,11,2013,71.36666666666666
21,12,2012,41.79416666666666
22,1,2013,28.078055555555554
22,1,2014,79.61756944444444
22,2,2013,29.625555555555554
22,3,2013,43.96458333333334
22,4,2013,43.74770833333333
22,5,2013,76.82777777777777
22,6,2013,75.35923611111112
22,7,2013,74.07819444444445
22,8,2013,73.14680555555556
22,9,2012,40.59284722222222
22,9,2013,41.25749999999999
22,10,2012,41.32548611111111
22,10,2013,72.30827564102563
22,11,2012,41.58111111111111
22,11,2013,71.36666666666666
22,12,2012,41.81326388888888
23,1,2013,28.18576388888889
23,1,2014,79.49465277777777
23,2,2013,29.647569444444443
23,3,2013,43.960277777777776
23,4,2013,43.73381944444444
23,5,2013,76.78226211583925
