

   Time         sum(rTop)     sum(rRoot)    sum(vTop)     sum(vRoot)     sum(vBot)    hTop       hRoot      hBot      A-level
    [T]           [L]           [L]           [L]           [L]            [L]        [L]         [L]       [L] 

     1.99985  0.000000E+00  0.000000E+00  0.100555E-06  0.000000E+00  0.000000E+00     -2.403      0.000    177.361       1
     2.99970  0.000000E+00  0.000000E+00  0.728490E-07  0.000000E+00  0.000000E+00     -0.947      0.000    179.304       2
     3.99955  0.000000E+00  0.000000E+00  0.101290E-06  0.000000E+00  0.000000E+00     -1.244      0.000    179.219       3
     4.99939  0.000000E+00  0.000000E+00  0.448298E-07  0.000000E+00  0.000000E+00     -0.815      0.000    179.365       4
     5.99924  0.000000E+00  0.000000E+00  0.307871E-07  0.000000E+00  0.000000E+00     -0.895      0.000    179.317       5
     6.99909  0.000000E+00  0.000000E+00  0.140414E-07  0.000000E+00  0.000000E+00     -0.959      0.000    179.288       6
     7.99894 -0.199970E+00  0.000000E+00 -0.955682E-04  0.000000E+00  0.000000E+00      0.010      0.000    180.009       7
     8.99879 -0.191150E+00  0.178185E-03  0.872496E-02  0.000000E+00  0.000000E+00     -3.984      0.000    176.033       8
     9.99864 -0.152928E+00  0.950321E-03  0.469470E-01  0.000000E+00  0.000000E+00     -8.092      0.000    172.127       9
    10.99850 -0.559015E-01  0.291038E-02  0.143973E+00  0.000000E+00  0.000000E+00    -13.704      0.000    167.629      10
    11.99830  0.117559E+00  0.641452E-02  0.317433E+00  0.000000E+00  0.000000E+00    -21.607      0.000    163.287      11
    12.99820  0.358664E+00  0.112852E-01  0.558538E+00  0.000000E+00  0.000000E+00    -33.435      0.000    159.445      12
    13.99800  0.599185E+00  0.161440E-01  0.799059E+00  0.000000E+00  0.000000E+00    -45.044      0.000    156.198      13
    14.99790  0.839170E+00  0.209920E-01  0.103904E+01  0.000000E+00  0.000000E+00    -59.994      0.000    153.698      14
    15.99770  0.107857E+01  0.258282E-01  0.127844E+01  0.000000E+00  0.000000E+00    -80.832      0.000    151.379      15
    16.99760  0.131743E+01  0.306536E-01  0.151731E+01  0.000000E+00  0.000000E+00   -112.923      0.000    149.499      16
    17.99740  0.155571E+01  0.354672E-01  0.175559E+01  0.000000E+00  0.000000E+00   -166.865      0.000    147.707      17
    18.99730  0.179346E+01  0.402700E-01  0.199333E+01  0.000000E+00  0.000000E+00   -267.910      0.000    146.072      18
    19.99710  0.203062E+01  0.450609E-01  0.223049E+01  0.000000E+00  0.000000E+00   -472.758      0.000    144.673      19
    20.99700  0.226725E+01  0.498410E-01  0.246712E+01  0.000000E+00  0.000000E+00   -985.329      0.000    143.335      20
    21.99680  0.250328E+01  0.546094E-01  0.270316E+01  0.000000E+00  0.000000E+00  -2464.391      0.000    142.034      21
    22.99670  0.273879E+01  0.593669E-01  0.288826E+01  0.000000E+00  0.000000E+00  -2954.230      0.000    140.803      22
    23.99650  0.297371E+01  0.641126E-01  0.303097E+01  0.000000E+00  0.000000E+00  -2943.360      0.000    139.747      23
    24.99640  0.320809E+01  0.688475E-01  0.315693E+01  0.000000E+00  0.000000E+00  -2932.490      0.000    138.741      24
    25.99620  0.344189E+01  0.735705E-01  0.327151E+01  0.000000E+00 -0.160651E-05  -2921.610      0.000    137.773      25
    26.99610  0.367516E+01  0.782827E-01  0.337759E+01  0.000000E+00 -0.362977E-05  -2910.740      0.000    136.830      26
    27.99590  0.390784E+01  0.829832E-01  0.347649E+01  0.000000E+00 -0.605288E-05  -2899.870      0.000    135.919      27
    28.99580  0.413998E+01  0.876728E-01  0.356910E+01  0.000000E+00 -0.767697E-05  -2889.000      0.000    135.164      28
    29.99560  0.437154E+01  0.923507E-01  0.365702E+01  0.000000E+00 -0.869825E-05  -2878.130      0.000    134.974      29
