 ******* Program HYDRUS
 ******* 
 infiltration of water to soil                                           
 Date:  27. 4.    Time:  20:41:50
 Units: L = cm   , T = hours, M = mmol 


 Time:        0.0000


 Node      Depth      Head Moisture       K          C         Flux        Sink         Kappa   v/KsTop   Temp
           [L]        [L]    [-]        [L/T]      [1/L]      [L/T]        [1/T]         [-]      [-]      [C]

   1     0.0000       0.444 0.5000   0.1500E+01  0.0000E+00 -0.1500E+01  0.0000E+00      -1  -0.100E+01   20.00
   2    -1.5981       0.444 0.5000   0.1500E+01  0.0000E+00 -0.1500E+01  0.0000E+00      -1  -0.100E+01   20.00
   3    -3.5846       0.444 0.5000   0.1500E+01  0.0000E+00 -0.1500E+01  0.0000E+00      -1  -0.100E+01   20.00
   4    -5.9596       0.444 0.5000   0.1500E+01  0.0000E+00 -0.1500E+01  0.0000E+00      -1  -0.100E+01   20.00
   5    -8.7231       0.444 0.5000   0.1500E+01  0.0000E+00 -0.1500E+01  0.0000E+00      -1  -0.100E+01   20.00
   6   -11.8751       0.444 0.5000   0.1500E+01  0.0000E+00 -0.1500E+01  0.0000E+00      -1  -0.100E+01   20.00
   7   -15.4155       0.444 0.5000   0.1500E+01  0.0000E+00 -0.1500E+01  0.0000E+00      -1  -0.100E+01   20.00
   8   -19.3444       0.444 0.5000   0.1500E+01  0.0000E+00 -0.1500E+01  0.0000E+00      -1  -0.100E+01   20.00
   9   -23.6618       0.444 0.5000   0.1500E+01  0.0000E+00 -0.1500E+01  0.0000E+00      -1  -0.100E+01   20.00
  10   -28.3677       0.444 0.5000   0.1500E+01  0.0000E+00 -0.1500E+01  0.0000E+00      -1  -0.100E+01   20.00
  11   -33.4621       0.444 0.5000   0.1500E+01  0.0000E+00 -0.1500E+01  0.0000E+00      -1  -0.100E+01   20.00
  12   -38.9449       0.444 0.5000   0.1500E+01  0.0000E+00 -0.1381E+01  0.0000E+00      -1  -0.921E+00   20.00
  13   -44.8162       0.347 0.5000   0.1000E+01  0.0000E+00 -0.1131E+01  0.0000E+00      -1  -0.754E+00   20.00
  14   -51.0760       0.347 0.5000   0.1000E+01  0.0000E+00 -0.1000E+01  0.0000E+00      -1  -0.667E+00   20.00
  15   -57.7243       0.347 0.5000   0.1000E+01  0.0000E+00 -0.1000E+01  0.0000E+00      -1  -0.667E+00   20.00
  16   -64.7611       0.347 0.5000   0.1000E+01  0.0000E+00 -0.1000E+01  0.0000E+00      -1  -0.667E+00   20.00
  17   -72.1863       0.347 0.5000   0.1000E+01  0.0000E+00 -0.2225E+01  0.0000E+00      -1  -0.148E+01   20.00
  18   -80.0000       0.181 0.5029   0.5637E+01  0.0000E+00 -0.3998E+01  0.0000E+00      -1  -0.267E+01   20.00
  19   -82.9087       0.181 0.5029   0.5637E+01  0.0000E+00 -0.5637E+01  0.0000E+00      -1  -0.376E+01   20.00
  20   -86.3543       0.181 0.5029   0.5637E+01  0.0000E+00 -0.5637E+01  0.0000E+00      -1  -0.376E+01   20.00
  21   -90.3368       0.181 0.5029   0.5637E+01  0.0000E+00 -0.5637E+01  0.0000E+00      -1  -0.376E+01   20.00
