 ******* Program HYDRUS
 ******* 
 infiltration of water to soil                                           
 Date:  27. 4.    Time:  20:41:50
 Units: L = cm   , T = hours, M = mmol 



                               Node( 10)                      Node( 15)                      Node( 21)                      Node( 26)                      Node( 30)                      Node( 33)

         time         h        theta    Temp         h        theta    Temp         h        theta    Temp         h        theta    Temp         h        theta    Temp         h        theta    Temp   
          0.0010       28.81  0.5000 -0.121E-04         58.17  0.5000 -0.117E-04         90.78  0.5029 -0.305E-04        118.74  0.5029 -0.954E-05        150.78  0.5029 -0.190E-04        180.44  0.5029  0.000E+00
          1.0000       23.85  0.5000 -0.117E-04         53.21  0.5000 -0.111E-04         85.82  0.5029 -0.305E-04        113.78  0.5029 -0.954E-05        145.82  0.5029 -0.190E-04        175.48  0.5029  0.000E+00
          2.0000       67.23  0.5000 -0.146E-04         96.59  0.5000 -0.131E-04        129.20  0.5029 -0.364E-04        157.17  0.5029 -0.622E-05        189.20  0.5029 -0.234E-04        218.87  0.5029  0.000E+00
          3.0000       30.56  0.5000 -0.126E-04         59.91  0.5000 -0.114E-04         92.53  0.5029 -0.305E-04        120.49  0.5029 -0.954E-05        152.53  0.5029 -0.190E-04        182.19  0.5029  0.000E+00
          4.0000       30.97  0.5000 -0.126E-04         60.32  0.5000 -0.117E-04         92.93  0.5029 -0.305E-04        120.90  0.5029 -0.663E-05        152.93  0.5029 -0.190E-04        182.60  0.5029  0.000E+00
          5.0000       28.98  0.5000 -0.123E-04         58.33  0.5000 -0.117E-04         90.95  0.5029 -0.305E-04        118.91  0.5029 -0.954E-05        150.95  0.5029 -0.190E-04        180.61  0.5029  0.000E+00
          6.0000       28.91  0.5000 -0.123E-04         58.26  0.5000 -0.117E-04         90.87  0.5029 -0.305E-04        118.84  0.5029 -0.954E-05        150.87  0.5029 -0.190E-04        180.54  0.5029  0.000E+00
          7.0000       29.31  0.5000 -0.123E-04         58.67  0.5000 -0.117E-04         91.28  0.5029 -0.305E-04        119.24  0.5029 -0.954E-05        151.28  0.5029 -0.190E-04        180.94  0.5029  0.000E+00
          8.0000       28.30  0.5000 -0.121E-04         57.66  0.5000 -0.114E-04         90.27  0.5029 -0.305E-04        118.24  0.5029 -0.954E-05        150.27  0.5029 -0.190E-04        179.94  0.5029  0.000E+00
          9.0000       24.40  0.5000 -0.120E-04         53.75  0.5000 -0.111E-04         86.37  0.5029 -0.305E-04        114.33  0.5029 -0.954E-05        146.37  0.5029 -0.190E-04        176.03  0.5029  0.000E+00
         10.0000       20.49  0.5000 -0.116E-04         49.85  0.5000 -0.109E-04         82.46  0.5029 -0.248E-04        110.43  0.5029 -0.954E-05        142.46  0.5029 -0.190E-04        172.12  0.5029  0.000E+00
         11.0000       15.99  0.5000 -0.111E-04         45.35  0.5000 -0.109E-04         77.96  0.5029 -0.248E-04        105.93  0.5029 -0.622E-05        137.96  0.5029 -0.190E-04        167.62  0.5029  0.000E+00
         12.0000       11.65  0.5000 -0.109E-04         41.01  0.5000 -0.106E-04         73.62  0.5029 -0.204E-04        101.58  0.5029 -0.622E-05        133.62  0.5029 -0.190E-04        163.28  0.5029  0.000E+00
         13.0000        7.81  0.5000 -0.106E-04         37.16  0.5000 -0.103E-04         69.78  0.5029 -0.204E-04         97.74  0.5029 -0.622E-05        129.78  0.5029 -0.166E-04        159.44  0.5029  0.000E+00
         14.0000        4.58  0.5000 -0.103E-04         33.93  0.5000 -0.102E-04         66.55  0.5029 -0.233E-04         94.51  0.5029 -0.622E-05        126.55  0.5029 -0.143E-04        156.21  0.5029  0.000E+00
         15.0000        2.06  0.5000 -0.102E-04         31.42  0.5000 -0.100E-04         64.03  0.5029 -0.204E-04         92.00  0.5029 -0.622E-05        124.03  0.5029 -0.166E-04        153.69  0.5029  0.000E+00
