 ******* Program HYDRUS
 ******* 
 infiltration of water to soil                                           
 Date:  31.10.    Time:  14:53: 6
 Units: L = cm   , T = hours, M = mmol 



                               Node( 10)                      Node( 15)                      Node( 21)                      Node( 26)                      Node( 30)                      Node( 33)

         time         h        theta    Temp         h        theta    Temp         h        theta    Temp         h        theta    Temp         h        theta    Temp         h        theta    Temp   
1.0000 28.42 100 0.231E-04 57.78 100 0.237E-04 90.39 100 0.576E-05 118.36 100 -0.334E-05 150.39 100 0.2398 0.000E+00 100 0.000E+00
2.0000 28.48 100 0.231E-04 57.83 100 0.235E-04 90.45 100 0.576E-05 118.41 100 -0.334E-05 150.45 100 0.2398 0.000E+00 100 0.000E+00
3.0000 28.53 100 0.231E-04 57.89 100 0.235E-04 90.51 100 0.576E-05 118.47 100 -0.334E-05 150.51 100 0.2398 0.000E+00 100 0.000E+00
4.0000 28.32 100 0.231E-04 57.67 100 0.235E-04 90.29 100 0.576E-05 118.25 100 -0.334E-05 150.29 100 0.2398 0.000E+00 100 0.000E+00
5.0000 28.39 100 0.233E-04 57.75 100 0.235E-04 90.36 100 0.576E-05 118.32 100 -0.334E-05 150.36 100 0.2398 0.000E+00 100 0.000E+00
6.0000 28.44 100 0.231E-04 57.79 100 0.237E-04 90.41 100 0.576E-05 118.37 100 -0.334E-05 150.41 100 0.2398 0.000E+00 100 0.000E+00
7.0000 28.37 100 0.231E-04 57.73 100 0.237E-04 90.34 100 0.576E-05 118.30 100 -0.334E-05 150.34 100 0.2398 0.000E+00 100 0.000E+00
8.0000 28.36 100 0.231E-04 57.72 100 0.237E-04 90.33 100 0.576E-05 118.30 100 -0.334E-05 150.33 100 0.2398 0.000E+00 100 0.000E+00
9.0000 24.84 100 0.224E-04 54.20 100 0.227E-04 86.81 100 0.576E-05 114.77 100 -0.334E-05 146.81 100 0.2398 0.000E+00 100 0.000E+00
10.0000 21.00 100 0.213E-04 50.36 100 0.214E-04 82.97 100 0.576E-05 110.94 100 -0.334E-05 142.97 100 0.2398 0.000E+00 100 0.000E+00
11.0000 16.50 100 0.200E-04 45.85 100 0.204E-04 78.47 100 0.576E-05 106.43 100 -0.334E-05 138.47 100 0.2398 0.000E+00 100 0.000E+00
12.0000 12.63 100 0.190E-04 41.98 100 0.194E-04 74.60 100 0.576E-05 102.56 100 -0.334E-05 134.60 100 0.2398 0.000E+00 100 0.000E+00
13.0000 9.25 100 0.182E-04 38.61 100 0.184E-04 71.22 100 0.576E-05 99.19 100 -0.334E-05 131.22 100 0.2398 -0.262E-05 100 0.000E+00
14.0000 6.67 100 0.175E-04 36.03 100 0.176E-04 68.64 100 0.576E-05 96.60 100 -0.334E-05 128.64 100 0.2398 0.000E+00 100 0.000E+00
