 ******* Program HYDRUS
 ******* 
 infiltration of water to soil                                           
 Date:  27. 4.    Time:  20:41:50
 Units: L = cm   , T = hours, M = mmol 


    n      depth     THr       THs       hs       Ks        Ks/KsTop     Beta      Ah        AK        ATh

    1      0.00     0.110     0.500       0.0   0.150E+01     1.000     0.000     1.000     1.000     1.000
    2      1.60     0.110     0.500       0.0   0.150E+01     1.000     0.000     1.000     1.000     1.000
    3      3.58     0.110     0.500       0.0   0.150E+01     1.000     0.000     1.000     1.000     1.000
    4      5.96     0.110     0.500       0.0   0.150E+01     1.000     0.000     1.000     1.000     1.000
    5      8.72     0.110     0.500       0.0   0.150E+01     1.000     0.000     1.000     1.000     1.000
    6     11.88     0.110     0.500       0.0   0.150E+01     1.000     0.000     1.000     1.000     1.000
    7     15.42     0.110     0.500       0.0   0.150E+01     1.000     0.000     1.000     1.000     1.000
    8     19.34     0.110     0.500       0.0   0.150E+01     1.000     0.000     1.000     1.000     1.000
    9     23.66     0.110     0.500       0.0   0.150E+01     1.000     0.000     1.000     1.000     1.000
   10     28.37     0.110     0.500       0.0   0.150E+01     1.000     0.000     1.000     1.000     1.000
   11     33.46     0.110     0.500       0.0   0.150E+01     1.000     0.000     1.000     1.000     1.000
   12     38.94     0.110     0.500       0.0   0.150E+01     1.000     0.000     1.000     1.000     1.000
   13     44.82     0.110     0.500       0.0   0.100E+01     0.667     0.000     1.000     1.000     1.000
   14     51.08     0.110     0.500       0.0   0.100E+01     0.667     0.000     1.000     1.000     1.000
   15     57.72     0.110     0.500       0.0   0.100E+01     0.667     0.000     1.000     1.000     1.000
   16     64.76     0.110     0.500       0.0   0.100E+01     0.667     0.000     1.000     1.000     1.000
   17     72.19     0.110     0.500       0.0   0.100E+01     0.667     0.000     1.000     1.000     1.000
   18     80.00     0.134     0.503       0.0   0.564E+01     3.758     0.000     1.000     1.000     1.000
   19     82.91     0.134     0.503       0.0   0.564E+01     3.758     0.000     1.000     1.000     1.000
   20     86.35     0.134     0.503       0.0   0.564E+01     3.758     0.000     1.000     1.000     1.000
   21     90.34     0.134     0.503       0.0   0.564E+01     3.758     0.000     1.000     1.000     1.000
   22     94.86     0.134     0.503       0.0   0.564E+01     3.758     0.000     1.000     1.000     1.000
   23     99.91     0.134     0.503       0.0   0.564E+01     3.758     0.000     1.000     1.000     1.000
   24    105.50     0.134     0.503       0.0   0.564E+01     3.758     0.000     1.000     1.000     1.000
   25    111.64     0.134     0.503       0.0   0.564E+01     3.758     0.000     1.000     1.000     1.000
   26    118.30     0.134     0.503       0.0   0.564E+01     3.758     0.000     1.000     1.000     1.000
   27    125.50     0.134     0.503       0.0   0.564E+01     3.758     0.000     1.000     1.000     1.000
   28    133.24     0.134     0.503       0.0   0.564E+01     3.758     0.000     1.000     1.000     1.000
   29    141.52     0.134     0.503       0.0   0.564E+01     3.758     0.000     1.000     1.000     1.000
   30    150.34     0.134     0.503       0.0   0.564E+01     3.758     0.000     1.000     1.000     1.000
   31    159.69     0.134     0.503       0.0   0.564E+01     3.758     0.000     1.000     1.000     1.000
   32    169.57     0.134     0.503       0.0   0.564E+01     3.758     0.000     1.000     1.000     1.000
   33    180.00     0.134     0.503       0.0   0.564E+01     3.758     0.000     1.000     1.000     1.000
end
