 ******* Program HYDRUS
 ******* 
 infiltration of water to soil                                           
 Date:  27. 4.    Time:  20:41:50
 Units: L = cm   , T = hours, M = mmol 


    TLevel      Time          dt      Iter    ItCum  KodT  KodB  Convergency

        1  0.1000000E-02  0.10000E-02    2        2     4    -7     T
       33  0.1000000E+01  0.48171E-01    2       66    -4    -7     T
       54  0.2000000E+01  0.15000E-03    2      124    -4    -7     T
       75  0.3000000E+01  0.30000E-03    2      186    -4    -7     T
       96  0.4000000E+01  0.45000E-03    2      248    -4    -7     T
      117  0.5000000E+01  0.61000E-03    2      318    -4    -7     T
      138  0.6000000E+01  0.76000E-03    2      390    -4    -7     T
      159  0.7000000E+01  0.91000E-03    2      462     4    -7     T
      191  0.8000000E+01  0.10600E-02    2      546    -4    -7     T
      214  0.9000000E+01  0.12100E-02    2      610    -4    -7     T
      235  0.1000000E+02  0.13600E-02    2      652    -4    -7     T
      256  0.1100000E+02  0.15000E-02    2      694    -4    -7     T
      277  0.1200000E+02  0.17000E-02    2      736    -4    -7     T
      298  0.1300000E+02  0.18000E-02    2      778    -4    -7     T
      319  0.1400000E+02  0.20000E-02    2      820    -4    -7     T
      340  0.1500000E+02  0.21000E-02    2      862    -4    -7     T
      361  0.1600000E+02  0.23000E-02    2      904    -4    -7     T
      382  0.1700000E+02  0.24000E-02    2      946    -4    -7     T
      403  0.1800000E+02  0.26000E-02    2      988    -4    -7     T
      424  0.1900000E+02  0.27000E-02    2     1030    -4    -7     T
      445  0.2000000E+02  0.29000E-02    2     1072    -4    -7     T
      466  0.2100000E+02  0.30000E-02    2     1114    -4    -7     T
      487  0.2200000E+02  0.32000E-02    2     1156    -4    -7     T
      508  0.2300000E+02  0.33000E-02    2     1198     4    -7     T
      529  0.2400000E+02  0.35000E-02    2     1240     4    -7     T
      550  0.2500000E+02  0.36000E-02    2     1282     4    -7     T
      571  0.2600000E+02  0.38000E-02    2     1324     4    -7     T
      592  0.2700000E+02  0.39000E-02    2     1366     4    -7     T
      613  0.2800000E+02  0.41000E-02    2     1408     4    -7     T
      634  0.2900000E+02  0.42000E-02    2     1450     4    -7     T
      655  0.3000000E+02  0.44000E-02    2     1492     4    -7     T
      676  0.3100000E+02  0.45000E-02    2     1534     4    -7     T
      697  0.3200000E+02  0.47000E-02    2     1576     4    -7     T
      718  0.3300000E+02  0.48000E-02    2     1618     4    -7     T
      739  0.3400000E+02  0.50000E-02    2     1660     4    -7     T
      760  0.3500000E+02  0.51000E-02    2     1702     4    -7     T
      781  0.3600000E+02  0.53000E-02    2     1744     4    -7     T
      802  0.3700000E+02  0.55000E-02    2     1786     4    -7     T
      823  0.3800000E+02  0.56000E-02    2     1828     4    -7     T
      844  0.3900000E+02  0.58000E-02    2     1870     4    -7     T
      865  0.4000000E+02  0.59000E-02    2     1912     4    -7     T
      886  0.4100000E+02  0.61000E-02    2     1954     4    -7     T
      907  0.4200000E+02  0.62000E-02    2     1996     4    -7     T
      928  0.4300000E+02  0.64000E-02    2     2038     4    -7     T
      949  0.4400000E+02  0.65000E-02    2     2080     4    -7     T
      970  0.4500000E+02  0.67000E-02    2     2122     4    -7     T
      991  0.4600000E+02  0.68000E-02    2     2164     4    -7     T
     1012  0.4700000E+02  0.70000E-02    2     2206     4    -7     T
     1033  0.4800000E+02  0.71000E-02    2     2248     4    -7     T
     1054  0.4900000E+02  0.73000E-02    2     2290     4    -7     T
     1075  0.5000000E+02  0.74000E-02    2     2332     4    -7     T
     1096  0.5100000E+02  0.76000E-02    2     2374     4    -7     T
     1117  0.5200000E+02  0.77000E-02    2     2416     4    -7     T
     1138  0.5300000E+02  0.79000E-02    2     2458     4    -7     T
     1159  0.5400000E+02  0.80000E-02    2     2500     4    -7     T
     1180  0.5500000E+02  0.82000E-02    2     2542     4    -7     T
     1201  0.5600000E+02  0.83000E-02    2     2584     4    -7     T
     1222  0.5700000E+02  0.85000E-02    2     2626     4    -7     T
     1243  0.5800000E+02  0.86000E-02    2     2668     4    -7     T
     1264  0.5900000E+02  0.88000E-02    2     2710     4    -7     T
     1285  0.6000000E+02  0.89000E-02    2     2752     4    -7     T
     1306  0.6100000E+02  0.91000E-02    2     2794     4    -7     T
     1327  0.6200000E+02  0.92000E-02    2     2836     4    -7     T
     1348  0.6300000E+02  0.94000E-02    2     2878     4    -7     T
     1369  0.6400000E+02  0.95000E-02    2     2920     4    -7     T
     1390  0.6500000E+02  0.97000E-02    2     2962     4    -7     T
     1411  0.6600000E+02  0.98000E-02    2     3004     4    -7     T
     1432  0.6700000E+02  0.10000E-01    2     3046     4    -7     T
     1453  0.6800000E+02  0.10100E-01    2     3088     4    -7     T
     1474  0.6900000E+02  0.10300E-01    2     3130     4    -7     T
     1495  0.7000000E+02  0.10500E-01    2     3172     4    -7     T
     1516  0.7100000E+02  0.10600E-01    2     3214     4    -7     T
     1537  0.7200000E+02  0.10800E-01    2     3256     4    -7     T
     1558  0.7300000E+02  0.10900E-01    2     3298     4    -7     T
     1579  0.7400000E+02  0.11100E-01    2     3340     4    -7     T
     1600  0.7500000E+02  0.11200E-01    2     3382     4    -7     T
     1621  0.7600000E+02  0.11400E-01    2     3424     4    -7     T
     1642  0.7700000E+02  0.11500E-01    2     3466     4    -7     T
     1663  0.7800000E+02  0.11700E-01    2     3508     4    -7     T
     1684  0.7900000E+02  0.11800E-01    2     3550     4    -7     T
     1705  0.8000000E+02  0.12000E-01    2     3592     4    -7     T
     1726  0.8100000E+02  0.12100E-01    2     3634     4    -7     T
     1747  0.8200000E+02  0.12300E-01    2     3676     4    -7     T
     1768  0.8300000E+02  0.12400E-01    2     3718     4    -7     T
     1789  0.8400000E+02  0.12600E-01    2     3760     4    -7     T
     1810  0.8500000E+02  0.12700E-01    2     3802     4    -7     T
     1831  0.8600000E+02  0.12900E-01    2     3844     4    -7     T
     1852  0.8700000E+02  0.13000E-01    2     3886     4    -7     T
     1873  0.8800000E+02  0.13200E-01    2     3928     4    -7     T
     1894  0.8900000E+02  0.13300E-01    2     3970     4    -7     T
     1915  0.9000000E+02  0.13500E-01    2     4012     4    -7     T
     1936  0.9100000E+02  0.13600E-01    2     4054     4    -7     T
     1957  0.9200000E+02  0.13800E-01    2     4096     4    -7     T
     1978  0.9300000E+02  0.13900E-01    2     4138     4    -7     T
     1999  0.9400000E+02  0.14100E-01    2     4180     4    -7     T
     2020  0.9500000E+02  0.14200E-01    2     4222     4    -7     T
     2041  0.9600000E+02  0.14400E-01    2     4264     4    -7     T
     2062  0.9700000E+02  0.14500E-01    2     4306     4    -7     T
     2083  0.9800000E+02  0.14700E-01    2     4348     4    -7     T
     2104  0.9900000E+02  0.14800E-01    2     4390     4    -7     T
     2125  0.1000000E+03  0.15000E-01    2     4432     4    -7     T
     2146  0.1010000E+03  0.15000E-01    2     4474     4    -7     T
     2167  0.1020000E+03  0.15000E-01    2     4516     4    -7     T
     2188  0.1030000E+03  0.15000E-01    2     4558     4    -7     T
     2209  0.1040000E+03  0.16000E-01    2     4600     4    -7     T
     2230  0.1050000E+03  0.16000E-01    2     4642     4    -7     T
     2251  0.1060000E+03  0.16000E-01    2     4684     4    -7     T
     2272  0.1070000E+03  0.16000E-01    2     4726     4    -7     T
     2293  0.1080000E+03  0.16000E-01    2     4768     4    -7     T
     2314  0.1090000E+03  0.16000E-01    2     4810     4    -7     T
     2335  0.1100000E+03  0.17000E-01    2     4852     4    -7     T
     2356  0.1110000E+03  0.17000E-01    2     4894     4    -7     T
     2377  0.1120000E+03  0.17000E-01    2     4936     4    -7     T
     2398  0.1130000E+03  0.17000E-01    2     4978     4    -7     T
     2419  0.1140000E+03  0.17000E-01    2     5020     4    -7     T
     2440  0.1150000E+03  0.17000E-01    2     5062     4    -7     T
     2461  0.1160000E+03  0.17000E-01    2     5104     4    -7     T
     2482  0.1170000E+03  0.18000E-01    2     5146     4    -7     T
     2503  0.1180000E+03  0.18000E-01    2     5188     4    -7     T
     2524  0.1190000E+03  0.18000E-01    2     5230     4    -7     T
     2545  0.1200000E+03  0.18000E-01    2     5272     4    -7     T
     2566  0.1210000E+03  0.18000E-01    2     5314     4    -7     T
     2587  0.1220000E+03  0.18000E-01    2     5356     4    -7     T
     2608  0.1230000E+03  0.18000E-01    2     5398     4    -7     T
     2629  0.1240000E+03  0.19000E-01    2     5440     4    -7     T
     2650  0.1250000E+03  0.19000E-01    2     5482     4    -7     T
     2671  0.1260000E+03  0.19000E-01    2     5524     4    -7     T
     2692  0.1270000E+03  0.19000E-01    2     5566     4    -7     T
     2713  0.1280000E+03  0.19000E-01    2     5608     4    -7     T
     2734  0.1290000E+03  0.19000E-01    2     5650     4    -7     T
     2755  0.1300000E+03  0.20000E-01    2     5692     4    -7     T
     2776  0.1310000E+03  0.20000E-01    2     5734     4    -7     T
     2797  0.1320000E+03  0.20000E-01    2     5776     4    -7     T
     2818  0.1330000E+03  0.20000E-01    2     5818     4    -7     T
     2839  0.1340000E+03  0.20000E-01    2     5860     4    -7     T
     2860  0.1350000E+03  0.20000E-01    2     5902     4    -7     T
     2881  0.1360000E+03  0.20000E-01    2     5944     4    -7     T
     2902  0.1370000E+03  0.21000E-01    2     5986     4    -7     T
     2923  0.1380000E+03  0.21000E-01    2     6028     4    -7     T
     2944  0.1390000E+03  0.21000E-01    2     6070     4    -7     T
