 ******* Program HYDRUS
 ******* 
 infiltration of water to soil                                           
 Date:  27. 4.    Time:  20:41:50
 Units: L = cm   , T = hours, M = mmol 

       Time          rTop        rRoot        vTop         vRoot        vBot       sum(rTop)   sum(rRoot)    sum(vTop)   sum(vRoot)    sum(vBot)      hTop         hRoot        hBot        RunOff    sum(RunOff)     Volume     sum(Infil)    sum(Evap) TLevel Cum(WTrans)  SnowLayer
        [T]         [L/T]        [L/T]        [L/T]        [L/T]        [L/T]         [L]          [L]          [L]         [L]           [L]         [L]           [L]         [L]          [L/T]         [L]          [L]          [L]          [L]

       0.0010  0.00000E+00  0.00000E+00 -0.12159E-04  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00 -0.12159E-07  0.00000E+00  0.00000E+00  0.44371E+00  0.00000E+00  0.18044E+03  0.00000E+00  0.00000E+00  0.90307E+02  0.12159E-07  0.00000E+00      1  0.00000E+00      0.000
       1.0000  0.00000E+00  0.00000E+00 -0.34086E-06  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.10153E-06  0.00000E+00  0.00000E+00 -0.45653E+01  0.00000E+00  0.17548E+03  0.00000E+00  0.00000E+00  0.90307E+02  0.12159E-07  0.22341E-06     33  0.00000E+00      0.000
       2.0000  0.00000E+00  0.00000E+00  0.59605E-04  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.10950E-06  0.00000E+00  0.00000E+00 -0.21515E+01  0.00000E+00  0.21887E+03  0.00000E+00  0.00000E+00  0.90307E+02  0.12159E-07  0.29553E-06     54  0.00000E+00      0.000
       3.0000  0.00000E+00  0.00000E+00 -0.32425E-04  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.63121E-07  0.00000E+00  0.00000E+00 -0.14667E+00  0.00000E+00  0.18219E+03  0.00000E+00  0.00000E+00  0.90307E+02  0.12159E-07  0.32866E-06     75  0.00000E+00      0.000
       4.0000  0.00000E+00  0.00000E+00 -0.77486E-05  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.97803E-07  0.00000E+00  0.00000E+00 -0.18192E+00  0.00000E+00  0.18260E+03  0.00000E+00  0.00000E+00  0.90307E+02  0.12159E-07  0.40408E-06     96  0.00000E+00      0.000
       5.0000  0.00000E+00  0.00000E+00 -0.11921E-04  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.37558E-07  0.00000E+00  0.00000E+00 -0.20196E+00  0.00000E+00  0.18061E+03  0.00000E+00  0.00000E+00  0.90307E+02  0.12159E-07  0.43255E-06    117  0.00000E+00      0.000
       6.0000  0.00000E+00  0.00000E+00 -0.73314E-05  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.25215E-07  0.00000E+00  0.00000E+00 -0.23005E+00  0.00000E+00  0.18054E+03  0.00000E+00  0.00000E+00  0.90307E+02  0.12159E-07  0.48631E-06    138  0.00000E+00      0.000
       7.0000 -0.20000E+00  0.00000E+00 -0.20001E+00  0.00000E+00  0.00000E+00 -0.18200E-03  0.00000E+00 -0.18200E-03  0.00000E+00  0.00000E+00  0.23824E+00  0.00000E+00  0.18094E+03  0.10774E-04  0.98039E-08  0.90307E+02  0.18202E-03  0.53916E-06    159  0.00000E+00      0.000
